Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/09/2021,01/01/2020,06/05/2021,By Total,,,United States,Total - All Places of Death,586671,4732153,516341,287808,9155,823081,
06/09/2021,01/01/2020,06/05/2021,By Total,,,United States,"Healthcare setting, inpatient",384325,1469901,384313,233741,5795,540361,
06/09/2021,01/01/2020,06/05/2021,By Total,,,United States,"Healthcare setting, outpatient or emergency room",19026,280553,14983,6197,390,28185,
06/09/2021,01/01/2020,06/05/2021,By Total,,,United States,"Healthcare setting, dead on arrival",534,13285,331,144,18,739,
06/09/2021,01/01/2020,06/05/2021,By Total,,,United States,Decedent's home,41927,1584602,35114,10942,1735,66976,
06/09/2021,01/01/2020,06/05/2021,By Total,,,United States,Hospice facility,17445,284728,22654,8587,416,31913,
06/09/2021,01/01/2020,06/05/2021,By Total,,,United States,Nursing home/long term care facility,111594,779491,50849,24906,658,138158,
06/09/2021,01/01/2020,06/05/2021,By Total,,,United States,Other,11621,316224,7980,3231,140,16491,
06/09/2021,01/01/2020,06/05/2021,By Total,,,United States,Place of death unknown,199,3369,117,60,3,258,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alabama,Total - All Places of Death,10796,90093,7781,3674,158,15042,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alabama,"Healthcare setting, inpatient",8254,29375,6533,3282,117,11605,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alabama,"Healthcare setting, outpatient or emergency room",357,6733,203,60,12,512,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alabama,"Healthcare setting, dead on arrival",,125,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alabama,Decedent's home,669,35445,359,111,19,935,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alabama,Hospice facility,118,3283,231,55,,298,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alabama,Nursing home/long term care facility,1321,10170,408,159,,1573,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alabama,Other,71,4962,46,,,113,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alabama,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alaska,Total - All Places of Death,344,6560,396,186,10,564,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alaska,"Healthcare setting, inpatient",255,2109,295,157,,399,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alaska,"Healthcare setting, outpatient or emergency room",,422,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alaska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alaska,Decedent's home,53,2777,60,22,,93,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alaska,Hospice facility,0,0,0,0,0,0,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alaska,Nursing home/long term care facility,24,637,20,,,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alaska,Other,,609,12,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Alaska,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arizona,Total - All Places of Death,15866,110720,14517,9364,153,21167,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arizona,"Healthcare setting, inpatient",10715,30685,10522,7508,111,13837,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arizona,"Healthcare setting, outpatient or emergency room",436,5696,329,162,,608,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arizona,"Healthcare setting, dead on arrival",,35,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arizona,Decedent's home,1490,37866,1307,540,14,2271,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arizona,Hospice facility,910,8761,859,372,17,1413,
06/09/2021,01/01/2020,06/05/2021,By Total,,,Arizona,Nursing home/long term care facility,1046,6991,633,382,,1300,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
