StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q12,Q13,Q16,Q10,Q11,Q17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,What gender do you identify as?,Do you consider yourself to be:,Ethnicity,What is the highest degree or current pursuing level of education you have completed?,"Do you consider yourself to be tech savvy? i.e. the term ""tech savvy"" can mean someone who is well informed about the modern technology, and also uses his/her skills in order to take advantage of the current technology.","Do you own any tech gadgets? i.e. the term ""tech gadget"" can mean a small specialized mechanical or electronic device; a contrivance. This can be apply to you if you own smart home devices, smart watches, wireless speaker, etc.",Do you cover your computer webcam camera?,"Do you consider yourself as a privacy savvy individual? i.e. the term ""privacy savvy"" can mean an individual using software/extension to block ads, VPN, password generators, etc. for personal security purposes.","Do you utilize any security software for your personal tech devices? i.e. ""Security software"" is any type of software that secures and protects a computer, network or any computing-enabled device. It manages access control, provides data protection, secures the system against viruses and network/Internet based intrusions, and defends against other system-level security risks.",Have your identity ever been compromise? i.e. A victim of identity theft.,How smart is your home?,"How concerned are you about security on the Internet? (e.g people reading your email, finding out what websites you visit, etc.)","How concerned are you about security in relation to making purchases or banking over the Internet? i.e. the term ""security"" can mean privacy, confidentiality, and/or proof of identity for you or for someone else.",How concern are you knowing your smart home device(s) is always on and also always listening?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID17""}"
2021-07-12 14:18:28,2021-07-12 14:20:39,IP Address,73.234.46.22,100,130,TRUE,2021-07-12 14:20:39,R_1q4ACDYcIptff8O,,,,,42.72869873046880,-71.18340301513670000,anonymous,EN,18 to 25,Female,Bisexual,Middle-Eastern,Master's Degree,Maybe,Yes,No,Probably not,No,No,"Somewhat smart, 5-10 devices are installed",Very Concerned,Very concerned,Very concerned
2021-07-12 14:23:56,2021-07-12 14:25:09,IP Address,67.172.41.50,100,73,TRUE,2021-07-12 14:25:09,R_1hEwrUjpIUPw3q2,,,,,42.7239990234375,-71.47899627685550000,anonymous,EN,18 to 25,Female,Bisexual,White American,Bachelor's Degree,Maybe,Yes,No,Probably not,Yes,No,"Somewhat smart, 5-10 devices are installed",Very Concerned,Very concerned,Very concerned
2021-07-12 14:23:55,2021-07-12 14:25:46,IP Address,108.49.133.12,100,111,TRUE,2021-07-12 14:25:46,R_3oA7YmjFkPz0ws6,,,,,42.5511016845703000,-71.2559967041016000,anonymous,EN,18 to 25,Male,Heterosexual or straight,White American,Bachelor's Degree,Maybe,Yes,No,Probably not,No,No,"Not many, 1-5 smart devices are installed",Very Concerned,A little concerned,Somewhat concerned
2021-07-12 14:31:27,2021-07-12 14:36:45,IP Address,174.192.2.47,100,317,TRUE,2021-07-12 14:36:45,R_cTKqsOZNabHNx4J,,,,,41.5381927490234000,-72.8007965087891000,anonymous,EN,18 to 25,Female,Heterosexual or straight,Two or More,Associate's Degree,Yes,Yes,Yes,Might or might not,Yes,No,"Somewhat smart, 5-10 devices are installed",Somewhat concerned,Somewhat concerned,Very concerned
2021-07-12 14:35:33,2021-07-12 14:37:37,IP Address,73.119.33.135,100,124,TRUE,2021-07-12 14:37:37,R_2pL7jyXGTCXZGIr,,,,,42.7825927734375,-71.10289764404300000,anonymous,EN,18 to 25,Female,Bisexual,White American,Associate's Degree,Yes,Yes,No,Might or might not,Yes,No,"Not many, 1-5 smart devices are installed",Somewhat concerned,Somewhat concerned,Somewhat concerned
2021-07-12 14:48:22,2021-07-12 14:49:12,IP Address,73.119.33.135,100,49,TRUE,2021-07-12 14:49:13,R_3ezzpCNtCuJLC5n,,,,,42.7825927734375,-71.10289764404300000,anonymous,EN,18 to 25,Female,Bisexual,White American,Bachelor's Degree,Yes,Yes,Yes,Might or might not,No,No,"Very smart, 10+ smart devices are installed",Very Concerned,Very concerned,Very concerned
2021-07-12 14:31:26,2021-07-12 15:23:55,IP Address,24.61.206.28,100,3148,TRUE,2021-07-12 15:23:55,R_1dpewlqnag1AmhU,,,,,42.635101318359400,-71.30139923095700000,anonymous,EN,18 to 25,Male,Heterosexual or straight,Southeast Asian,Master's Degree,Maybe,Maybe,No,Might or might not,No,No,"Not many, 1-5 smart devices are installed",Very Concerned,Very concerned,Very concerned
2021-07-12 15:26:32,2021-07-12 15:28:23,IP Address,107.77.203.37,100,110,TRUE,2021-07-12 15:28:23,R_3hiOMTOHQu3k1yL,,,,,39.264495849609400,-76.62239837646480000,anonymous,EN,18 to 25,Male,Bisexual,White American,Bachelor's Degree,Maybe,Yes,Yes,Probably yes,Yes,No,"Not many, 1-5 smart devices are installed",Very Concerned,Very concerned,Very concerned
